source	term_id	term_name	p_value	intersection_size	query_size	log_pval	overlap_ratio	term_clean
GO:BP	GO:0071216	cellular response to biotic stimulus	0.00422139338181362	4	28	2.3745441750689	14.2857142857143	cellular response to biotic stimulus
REAC	REAC:R-HSA-447115	Interleukin-12 family signaling	0.00423304547846481	3	21	2.37334706558216	14.2857142857143	Interleukin-12 family signaling
GO:BP	GO:0009719	response to endogenous stimulus	0.00445919900997158	8	28	2.35074314505253	28.5714285714286	response to endogenous stimulus
GO:BP	GO:0048522	positive regulation of cellular process	0.00445919900997158	18	28	2.35074314505253	64.2857142857143	positive regulation of cellular process
GO:BP	GO:0032816	positive regulation of natural killer cell activation	0.00445919900997158	2	28	2.35074314505253	7.14285714285714	positive regulation of natural killer cell activation
GO:BP	GO:0007159	leukocyte cell-cell adhesion	0.00466094184577363	5	28	2.33152631569371	17.8571428571429	leukocyte cell-cell adhesion
GO:BP	GO:0048584	positive regulation of response to stimulus	0.00484107436613426	11	28	2.31505824589584	39.2857142857143	positive regulation of response to stimulus
GO:BP	GO:0045063	T-helper 1 cell differentiation	0.00485831429478362	2	28	2.31351439317951	7.14285714285714	T-helper 1 cell differentiation
GO:BP	GO:0050896	response to stimulus	0.00504704815208687	22	28	2.29696255179775	78.5714285714286	response to stimulus
GO:BP	GO:0070663	regulation of leukocyte proliferation	0.00534557302949803	4	28	2.27200573288555	14.2857142857143	regulation of leukocyte proliferation
GO:BP	GO:0050789	regulation of biological process	0.00565895212921913	26	28	2.24726397987699	92.8571428571429	regulation of biological process
GO:BP	GO:0002252	immune effector process	0.00572181223258838	6	28	2.24246639813662	21.4285714285714	immune effector process
GO:BP	GO:0046641	positive regulation of alpha-beta T cell proliferation	0.00596674082950605	2	28	2.2242628256987	7.14285714285714	positive regulation of alpha-beta T cell proliferation
